C	-88	66	69
C	-129	61	73
C	-147	65	110
C	-125	74	144
C	-84	79	140
C	-65	75	103
C	-22	81	101
C	2	82	69
C	45	91	71
C	70	91	38
C	110	99	41
C	138	102	7
C	131	86	-29
C	158	90	-63
C	185	122	-66
C	211	125	-98
C	211	96	-127
C	185	65	-125
C	158	62	-93
C	-139	52	3
C	235	190	-79
H	-198	60	92
H	84	103	105
H	249	119	-159
H	-76	64	44
H	-137	76	168
H	-69	84	163
H	-9	85	125
H	-9	78	44
H	59	84	13
H	162	115	11
H	108	72	-32
H	186	142	-46
H	185	45	-145
H	140	41	-92
H	-129	78	-3
H	-160	46	-16
H	-118	33	0
H	207	199	-76
H	251	212	-89
H	245	183	-53
H	108	110	92
O	-155	52	42
O	-188	61	114
O	59	100	107
O	126	108	76
O	237	157	-105
O	237	98	-159
